Date,Price,Open,High,Low,Vol,Change
45167,27.723,26.118,28.46,25.919,98.32,6.14%
45166,26.118,26.100,26.215,25.891,28.84,0.07%
45165,26.100,26.17,26.176,25.968,14.29,0.32%
45164,26.17,26.57,26.114,25.993,12.9,-0.15%
45163,26.57,26.176,26.265,25.811,39.96,-0.46%
45162,26.177,26.436,26.560,25.943,41.4,-0.98%
45161,26.436,26.42,26.807,25.812,60.96,1.52%
45160,26.39,26.126,26.138,25.481,47.72,-0.33%
45159,26.126,26.190,26.220,25.850,41.10,-0.25%
45158,26.190,26.99,26.269,25.998,24.0,0.35%
45157,26.99,26.53,26.262,25.799,33.4,0.18%
45156,26.53,26.635,26.801,25.691,93.5,-2.19%
45155,26.635,28.726,28.771,25.489,132.92,-7.28%
45154,28.726,29.195,29.251,28.717,43.71,-1.61%
45153,29.195,29.426,29.472,29.118,33.81,-0.79%
45152,29.426,29.300,29.689,29.116,39.30,0.43%
45151,29.300,29.428,29.468,29.272,13.49,-0.44%
45150,29.428,29.420,29.480,29.375,11.7,0.02%
45149,29.420,29.448,29.544,29.271,27.71,-0.10%
45148,29.449,29.578,29.719,29.377,32.0,-0.44%
45147,29.578,29.771,30.104,29.384,49.67,-0.67%
45146,29.777,29.204,30.168,29.137,62.57,1.96%
45145,29.204,29.81,29.270,28.721,41.19,0.42%
45144,29.81,29.67,29.198,28.987,16.3,0.05%
45143,29.68,29.105,29.139,28.983,14.55,-0.13%
45142,29.105,29.189,29.319,28.875,31.43,-0.29%
45141,29.189,29.180,29.409,28.981,36.8,0.05%
45140,29.173,29.711,30.25,28.961,67.41,-1.81%
45139,29.712,29.232,29.712,28.611,64.1,1.64%
45138,29.232,29.282,29.502,29.128,31.84,-0.17%
45137,29.281,29.354,29.446,29.54,20.58,-0.24%
45136,29.353,29.315,29.400,29.256,13.90,0.13%
45135,29.315,29.222,29.533,29.125,31.42,0.32%
45134,29.222,29.352,29.568,29.94,30.42,-0.44%
45133,29.352,29.228,29.681,29.109,44.33,0.42%
45132,29.228,29.178,29.365,29.58,29.5,0.17%
45131,29.178,30.85,30.98,28.890,55.73,-3.02%
45130,30.85,29.788,30.337,29.735,23.32,1.00%
45129,29.788,29.904,29.988,29.657,18.47,-0.38%
45128,29.903,29.801,30.58,29.739,32.59,0.34%
45127,29.801,29.909,30.408,29.621,50.33,-0.36%
45126,29.909,29.866,30.185,29.789,34.96,0.14%
45125,29.866,30.139,30.242,29.624,42.40,-0.91%
45124,30.139,30.235,30.335,29.693,42.84,-0.32%
