Date;Price;Open;High;Low;Vol;Change
45033;294349;303108;303122;292740;71.90;-2.89%
45032;303103;302992;305453;301346;34.48;0.04%
45031;302996;304726;305865;302088;31.71;-0.57%
45030;304725;303874;309649;300260;98.38;0.28%
45029;303874;298924;305241;298645;65.87;1.68%
45028;298864;302098;304730;296795;78.69;-1.07%
45027;302096;296410;304846;295978;89.38;1.92%
45026;296410;283265;297554;281829;85.73;4.64%
45025;283266;279412;285227;278092;39.35;1.38%
45024;279412;279104;281531;278638;23.73;0.11%
45023;279104;280376;281025;277794;30.94;-0.45%
45022;280367;281735;281735;277345;51.29;-0.49%
45021;281735;281644;287444;278235;77.32;0.03%
45020;281644;278022;284291;276689;64.06;1.30%
45019;278021;281947;284584;272569;98.00;-1.41%
45018;281983;284561;285228;278717;45.04;-0.91%
45017;284561;284737;287951;282856;38.09;-0.06%
45016;284737;280293;286463;275875;98.44;1.58%
45015;280295;283503;291604;277167;122.51;-1.13%
45014;283504;272629;286274;272498;109.32;3.99%
45013;272622;271278;274650;266656;94.16;0.49%
45012;271298;279748;280233;266115;107.24;-3.02%
45011;279735;274749;281537;274291;60.64;1.81%
45010;274756;274622;277619;271767;61.36;0.05%
45009;274622;283069;283745;270265;110.36;-3.00%
45008;283107;272628;287341;271446;158.46;3.85%
45007;272617;281142;287603;266687;262.03;-3.03%
45006;281140;277198;284378;273506;438.78;1.42%
45005;277205;279589;284578;271570;503.90;-0.85%
45004;279587;269145;283473;268446;393.27;3.88%
45003;269145;273919;276591;266887;392.47;-1.74%
45002;273918;250044;277422;249001;674.96;9.55%
45001;250041;242832;251390;241479;462.58;2.97%
45000;242827;246996;251089;239324;614.31;-1.69%
44999;246997;241215;263659;239946;753.06;2.43%
44998;241144;219948;244062;218596;733.63;9.64%
44997;219948;204650;220286;202942;455.69;7.46%
44996;204675;201565;206695;197967;453.46;1.54%
44995;201567;203620;203626;195918;655.27;-1.01%
44994;203618;217108;218265;200796;468.76;-6.21%
44993;217108;221978;222743;216613;316.51;-2.19%
44992;221978;224101;225351;219686;304.75;-0.95%
44991;224100;224282;225954;223201;215.31;-0.08%
44990;224283;223471;226367;222135;160.57;0.36%
44989;223471;223547;224037;221674;123.93;-0.03%
44988;223544;234656;234734;220519;344.63;-4.73%
44987;234654;236422;237805;232087;249.26;-0.75%
44986;236422;231306;239141;230253;328.77;2.21%
44985;231305;234940;235950;230338;275.10;-1.55%
44984;234941;235587;238762;231668;297.65;-0.27%
44983;235587;231661;236718;230660;209.12;1.69%
44982;231661;231913;232153;227774;198.35;-0.11%
44981;231915;239364;241234;229703;367.99;-3.11%
44980;239363;241866;245904;236379;417.46;-1.03%
44979;241866;244507;244743;235934;400.24;-1.08%
44978;244507;248395;252368;241608;395.97;-1.57%
44977;248395;243028;250854;238686;363.02;2.21%
44976;243029;246313;251752;242737;312.64;-1.33%
44975;246314;245735;248389;244570;223.77;0.24%
44974;245735;235382;249847;233730;523.85;4.39%
44973;235396;243281;252338;235259;484.50;-3.24%
44972;243279;221985;243309;220508;401.53;9.59%
44971;221985;217769;223086;215562;378.39;1.96%
44970;217726;217827;218875;214187;312.04;-0.07%
44969;217868;218599;220807;216531;211.65;-0.33%
44968;218598;216274;219029;216053;182.07;1.04%
